mobile_name,mobile_price,mobile_color,_sim,disp_size,resolution,os,num_cores,_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
RedmiNote7Pro(AstroMoonlihtWhite128),13999.00,AstroMoonlihtWhite,Sim,16,2527200,AndroidPie9,OctaCore,2,128,6,485,13,2,Yes,4000,75.21,159.21,8.1,186
RedmiNote9ProMax(InterstellarBlack128),16999.00,InterstellarBlack,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,128,6,64852,32,34,Yes,5020,76.68,165.5,8.8,209
RedmiNote9ProMax(lacierWhite128),16999.00,lacierWhite,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,128,6,64852,32,34,Yes,5020,76.68,165.5,8.8,209
Redmi8A(SunsetRed32),6999.00,SunsetRed,Sim,15.8,1094400,AndroidPie9.0,OctaCore,1.95,32,2,12,8,42,Yes,5000,75.41,156.48,9.4,188
RedmiNote7Pro(SpaceBlack64),10999.00,SpaceBlack,Sim,16,2527200,AndroidPie9.0,OctaCore,2,64,4,485,13,3,Yes,4000,75.21,159.21,8.1,186
Mi10(Coralreen256),55400.00,Coralreen,Sim,16.94,2527200,AndroidPie10,OctaCore,2.84,256,8,108,20,4,Yes,4780,74.8,162.58,8.96,209
RedmiNote5Pro(Black64),13999.00,Black,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,181
RedmiNote5Pro(Roseold64),16999.00,Roseold,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,181
RedmiNote5Pro(Red64),12999.00,Red,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,4,125,20,34,Yes,4000,75.35,158.58,8.05,181
MiA2(Red64),13999.00,Red,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,64,4,2012,20,3,Yes,3010,75.4,158.7,7.3,
RedmiNote5Pro(old64),17999.00,old,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,181
MiA2(Blue/LakeBlue64),13999.00,Blue/LakeBlue,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,64,4,2012,20,3,Yes,3010,75.4,158.7,7.3,168
Redmio(Blue16),6700.00,Blue,Sim,12.7,921600,AndroidOreo8.1,QuadCore,1.4,16,1,8,5,3,Yes,3000,70.1,140.4,8.35,137
RedmiNote5Pro(Black64),12999.00,Black,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,4,125,20,34,Yes,4000,75.35,158.58,8.05,181
